"R","G","B"
0.80078125,0.26953125,0.25
0.798667279411765,0.270588235294118,0.251593137254902
0.796553308823529,0.271645220588235,0.253186274509804
0.794439338235294,0.272702205882353,0.254779411764706
0.792325367647059,0.273759191176471,0.256372549019608
0.790211397058824,0.274816176470588,0.25796568627451
0.788097426470588,0.275873161764706,0.259558823529412
0.785983455882353,0.276930147058824,0.261151960784314
0.783869485294118,0.277987132352941,0.262745098039216
0.781755514705882,0.279044117647059,0.264338235294118
0.779641544117647,0.280101102941176,0.26593137254902
0.777527573529412,0.281158088235294,0.267524509803922
0.775413602941176,0.282215073529412,0.269117647058824
0.773299632352941,0.283272058823529,0.270710784313725
0.771185661764706,0.284329044117647,0.272303921568627
0.769071691176471,0.285386029411765,0.273897058823529
0.766957720588235,0.286443014705882,0.275490196078431
0.76484375,0.2875,0.277083333333333
0.762729779411765,0.288556985294118,0.278676470588235
0.760615808823529,0.289613970588235,0.280269607843137
0.758501838235294,0.290670955882353,0.281862745098039
0.756387867647059,0.291727941176471,0.283455882352941
0.754273897058824,0.292784926470588,0.285049019607843
0.752159926470588,0.293841911764706,0.286642156862745
0.750045955882353,0.294898897058823,0.288235294117647
0.747931985294118,0.295955882352941,0.289828431372549
0.745818014705882,0.297012867647059,0.291421568627451
0.743704044117647,0.298069852941176,0.293014705882353
0.741590073529412,0.299126838235294,0.294607843137255
0.739476102941176,0.300183823529412,0.296200980392157
0.737362132352941,0.301240808823529,0.297794117647059
0.735248161764706,0.302297794117647,0.299387254901961
0.733134191176471,0.303354779411765,0.300980392156863
0.731020220588235,0.304411764705882,0.302573529411765
0.72890625,0.30546875,0.304166666666667
0.726792279411765,0.306525735294118,0.305759803921569
0.724678308823529,0.307582720588235,0.307352941176471
0.722564338235294,0.308639705882353,0.308946078431373
0.720450367647059,0.309696691176471,0.310539215686275
0.718336397058824,0.310753676470588,0.312132352941176
0.716222426470588,0.311810661764706,0.313725490196078
0.714108455882353,0.312867647058824,0.31531862745098
0.711994485294118,0.313924632352941,0.316911764705882
0.709880514705882,0.314981617647059,0.318504901960784
0.707766544117647,0.316038602941176,0.320098039215686
0.705652573529412,0.317095588235294,0.321691176470588
0.703538602941176,0.318152573529412,0.32328431372549
0.701424632352941,0.319209558823529,0.324877450980392
0.699310661764706,0.320266544117647,0.326470588235294
0.697196691176471,0.321323529411765,0.328063725490196
0.695082720588235,0.322380514705882,0.329656862745098
0.69296875,0.3234375,0.33125
0.690854779411765,0.324494485294118,0.332843137254902
0.688740808823529,0.325551470588235,0.334436274509804
0.686626838235294,0.326608455882353,0.336029411764706
0.684512867647059,0.327665441176471,0.337622549019608
0.682398897058824,0.328722426470588,0.33921568627451
0.680284926470588,0.329779411764706,0.340808823529412
0.678170955882353,0.330836397058824,0.342401960784314
0.676056985294118,0.331893382352941,0.343995098039216
0.673943014705882,0.332950367647059,0.345588235294118
0.671829044117647,0.334007352941176,0.34718137254902
