"R","G","B"
0.99609375,0.28125,0.984375
0.99296875,0.284007352941176,0.984420955882353
0.98984375,0.286764705882353,0.984466911764706
0.98671875,0.289522058823529,0.984512867647059
0.98359375,0.292279411764706,0.984558823529412
0.98046875,0.295036764705882,0.984604779411765
0.97734375,0.297794117647059,0.984650735294118
0.97421875,0.300551470588235,0.984696691176471
0.97109375,0.303308823529412,0.984742647058824
0.96796875,0.306066176470588,0.984788602941176
0.96484375,0.308823529411765,0.98483455882353
0.96171875,0.311580882352941,0.984880514705882
0.95859375,0.314338235294118,0.984926470588235
0.95546875,0.317095588235294,0.984972426470588
0.95234375,0.319852941176471,0.985018382352941
0.94921875,0.322610294117647,0.985064338235294
0.94609375,0.325367647058824,0.985110294117647
0.94296875,0.328125,0.98515625
0.93984375,0.330882352941176,0.985202205882353
0.93671875,0.333639705882353,0.985248161764706
0.93359375,0.336397058823529,0.985294117647059
0.93046875,0.339154411764706,0.985340073529412
0.92734375,0.341911764705882,0.985386029411765
0.92421875,0.344669117647059,0.985431985294118
0.92109375,0.347426470588235,0.985477941176471
0.91796875,0.350183823529412,0.985523897058823
0.91484375,0.352941176470588,0.985569852941176
0.91171875,0.355698529411765,0.98561580882353
0.90859375,0.358455882352941,0.985661764705882
0.90546875,0.361213235294118,0.985707720588235
0.90234375,0.363970588235294,0.985753676470588
0.89921875,0.366727941176471,0.985799632352941
0.89609375,0.369485294117647,0.985845588235294
0.89296875,0.372242647058824,0.985891544117647
0.88984375,0.375,0.9859375
0.88671875,0.377757352941177,0.985983455882353
0.88359375,0.380514705882353,0.986029411764706
0.88046875,0.383272058823529,0.986075367647059
0.87734375,0.386029411764706,0.986121323529412
0.87421875,0.388786764705882,0.986167279411765
0.87109375,0.391544117647059,0.986213235294118
0.86796875,0.394301470588235,0.986259191176471
0.86484375,0.397058823529412,0.986305147058824
0.86171875,0.399816176470588,0.986351102941176
0.85859375,0.402573529411765,0.986397058823529
0.85546875,0.405330882352941,0.986443014705882
0.85234375,0.408088235294118,0.986488970588235
0.84921875,0.410845588235294,0.986534926470588
0.84609375,0.413602941176471,0.986580882352941
0.84296875,0.416360294117647,0.986626838235294
0.83984375,0.419117647058824,0.986672794117647
0.83671875,0.421875,0.98671875
0.83359375,0.424632352941176,0.986764705882353
0.83046875,0.427389705882353,0.986810661764706
