"R","G","B"
0.1875,0,0.1875
0.188970588235294,0.000735294117647059,0.188235294117647
0.190441176470588,0.00147058823529412,0.188970588235294
0.191911764705882,0.00220588235294118,0.189705882352941
0.193382352941176,0.00294117647058824,0.190441176470588
0.194852941176471,0.00367647058823529,0.191176470588235
0.196323529411765,0.00441176470588235,0.191911764705882
0.197794117647059,0.00514705882352941,0.192647058823529
0.199264705882353,0.00588235294117647,0.193382352941176
0.200735294117647,0.00661764705882353,0.194117647058824
0.202205882352941,0.00735294117647059,0.194852941176471
0.203676470588235,0.00808823529411765,0.195588235294118
0.205147058823529,0.00882352941176471,0.196323529411765
0.206617647058824,0.00955882352941176,0.197058823529412
0.208088235294118,0.0102941176470588,0.197794117647059
0.209558823529412,0.0110294117647059,0.198529411764706
0.211029411764706,0.0117647058823529,0.199264705882353
0.2125,0.0125,0.2
0.213970588235294,0.0132352941176471,0.200735294117647
0.215441176470588,0.0139705882352941,0.201470588235294
0.216911764705882,0.0147058823529412,0.202205882352941
0.218382352941176,0.0154411764705882,0.202941176470588
0.219852941176471,0.0161764705882353,0.203676470588235
0.221323529411765,0.0169117647058824,0.204411764705882
0.222794117647059,0.0176470588235294,0.205147058823529
0.224264705882353,0.0183823529411765,0.205882352941176
0.225735294117647,0.0191176470588235,0.206617647058824
0.227205882352941,0.0198529411764706,0.207352941176471
0.228676470588235,0.0205882352941176,0.208088235294118
0.230147058823529,0.0213235294117647,0.208823529411765
0.231617647058824,0.0220588235294118,0.209558823529412
0.233088235294118,0.0227941176470588,0.210294117647059
0.234558823529412,0.0235294117647059,0.211029411764706
0.236029411764706,0.0242647058823529,0.211764705882353
0.2375,0.025,0.2125
0.238970588235294,0.0257352941176471,0.213235294117647
0.240441176470588,0.0264705882352941,0.213970588235294
0.241911764705882,0.0272058823529412,0.214705882352941
0.243382352941176,0.0279411764705882,0.215441176470588
0.244852941176471,0.0286764705882353,0.216176470588235
0.246323529411765,0.0294117647058824,0.216911764705882
0.247794117647059,0.0301470588235294,0.217647058823529
0.249264705882353,0.0308823529411765,0.218382352941176
0.250735294117647,0.0316176470588235,0.219117647058824
0.252205882352941,0.0323529411764706,0.219852941176471
0.253676470588235,0.0330882352941176,0.220588235294118
0.255147058823529,0.0338235294117647,0.221323529411765
0.256617647058824,0.0345588235294118,0.222058823529412
0.258088235294118,0.0352941176470588,0.222794117647059
0.259558823529412,0.0360294117647059,0.223529411764706
0.261029411764706,0.0367647058823529,0.224264705882353
0.2625,0.0375,0.225
0.263970588235294,0.0382352941176471,0.225735294117647
0.265441176470588,0.0389705882352941,0.226470588235294
0.266911764705882,0.0397058823529412,0.227205882352941
0.268382352941176,0.0404411764705882,0.227941176470588
0.269852941176471,0.0411764705882353,0.228676470588235
0.271323529411765,0.0419117647058823,0.229411764705882
0.272794117647059,0.0426470588235294,0.230147058823529
0.274264705882353,0.0433823529411765,0.230882352941176
0.275735294117647,0.0441176470588235,0.231617647058824
0.277205882352941,0.0448529411764706,0.232352941176471
0.278676470588235,0.0455882352941176,0.233088235294118
0.280147058823529,0.0463235294117647,0.233823529411765
0.281617647058824,0.0470588235294118,0.234558823529412
0.283088235294118,0.0477941176470588,0.235294117647059
0.284558823529412,0.0485294117647059,0.236029411764706
0.286029411764706,0.0492647058823529,0.236764705882353
0.2875,0.05,0.2375
0.288970588235294,0.0507352941176471,0.238235294117647
0.290441176470588,0.0514705882352941,0.238970588235294
0.291911764705882,0.0522058823529412,0.239705882352941
0.293382352941176,0.0529411764705882,0.240441176470588
0.294852941176471,0.0536764705882353,0.241176470588235
0.296323529411765,0.0544117647058823,0.241911764705882
0.297794117647059,0.0551470588235294,0.242647058823529
0.299264705882353,0.0558823529411765,0.243382352941176
0.300735294117647,0.0566176470588235,0.244117647058823
0.302205882352941,0.0573529411764706,0.244852941176471
0.303676470588235,0.0580882352941176,0.245588235294118
0.305147058823529,0.0588235294117647,0.246323529411765
0.306617647058823,0.0595588235294118,0.247058823529412
0.308088235294118,0.0602941176470588,0.247794117647059
0.309558823529412,0.0610294117647059,0.248529411764706
0.311029411764706,0.0617647058823529,0.249264705882353
0.3125,0.0625,0.25
0.313970588235294,0.0632352941176471,0.250735294117647
0.315441176470588,0.0639705882352941,0.251470588235294
0.316911764705882,0.0647058823529412,0.252205882352941
0.318382352941176,0.0654411764705882,0.252941176470588
0.319852941176471,0.0661764705882353,0.253676470588235
0.321323529411765,0.0669117647058824,0.254411764705882
0.322794117647059,0.0676470588235294,0.255147058823529
0.324264705882353,0.0683823529411765,0.255882352941176
0.325735294117647,0.0691176470588235,0.256617647058824
0.327205882352941,0.0698529411764706,0.257352941176471
0.328676470588235,0.0705882352941176,0.258088235294118
0.330147058823529,0.0713235294117647,0.258823529411765
0.331617647058824,0.0720588235294118,0.259558823529412
0.333088235294118,0.0727941176470588,0.260294117647059
0.334558823529412,0.0735294117647059,0.261029411764706
0.336029411764706,0.0742647058823529,0.261764705882353
0.3375,0.075,0.2625
0.338970588235294,0.0757352941176471,0.263235294117647
0.340441176470588,0.0764705882352941,0.263970588235294
0.341911764705882,0.0772058823529412,0.264705882352941
0.343382352941176,0.0779411764705882,0.265441176470588
0.344852941176471,0.0786764705882353,0.266176470588235
0.346323529411765,0.0794117647058823,0.266911764705882
0.347794117647059,0.0801470588235294,0.267647058823529
0.349264705882353,0.0808823529411765,0.268382352941176
0.350735294117647,0.0816176470588235,0.269117647058824
0.352205882352941,0.0823529411764706,0.269852941176471
0.353676470588235,0.0830882352941176,0.270588235294118
