"R","G","B"
0.109375,0.62890625,0.88671875
0.116222426470588,0.628446691176471,0.885431985294118
0.123069852941176,0.627987132352941,0.884145220588235
0.129917279411765,0.627527573529412,0.882858455882353
0.136764705882353,0.627068014705882,0.881571691176471
0.143612132352941,0.626608455882353,0.880284926470588
0.150459558823529,0.626148897058823,0.878998161764706
0.157306985294118,0.625689338235294,0.877711397058824
0.164154411764706,0.625229779411765,0.876424632352941
0.171001838235294,0.624770220588235,0.875137867647059
0.177849264705882,0.624310661764706,0.873851102941176
0.184696691176471,0.623851102941176,0.872564338235294
0.191544117647059,0.623391544117647,0.871277573529412
0.198391544117647,0.622931985294118,0.869990808823529
0.205238970588235,0.622472426470588,0.868704044117647
0.212086397058824,0.622012867647059,0.867417279411765
0.218933823529412,0.621553308823529,0.866130514705882
0.22578125,0.62109375,0.86484375
0.232628676470588,0.620634191176471,0.863556985294118
0.239476102941176,0.620174632352941,0.862270220588235
0.246323529411765,0.619715073529412,0.860983455882353
0.253170955882353,0.619255514705882,0.859696691176471
0.260018382352941,0.618795955882353,0.858409926470588
0.266865808823529,0.618336397058823,0.857123161764706
0.273713235294118,0.617876838235294,0.855836397058823
0.280560661764706,0.617417279411765,0.854549632352941
0.287408088235294,0.616957720588235,0.853262867647059
0.294255514705882,0.616498161764706,0.851976102941176
0.301102941176471,0.616038602941176,0.850689338235294
0.307950367647059,0.615579044117647,0.849402573529412
0.314797794117647,0.615119485294118,0.848115808823529
0.321645220588235,0.614659926470588,0.846829044117647
0.328492647058823,0.614200367647059,0.845542279411765
0.335340073529412,0.613740808823529,0.844255514705882
0.3421875,0.61328125,0.84296875
0.349034926470588,0.612821691176471,0.841681985294118
0.355882352941176,0.612362132352941,0.840395220588235
0.362729779411765,0.611902573529412,0.839108455882353
0.369577205882353,0.611443014705882,0.837821691176471
0.376424632352941,0.610983455882353,0.836534926470588
0.383272058823529,0.610523897058823,0.835248161764706
0.390119485294118,0.610064338235294,0.833961397058824
0.396966911764706,0.609604779411765,0.832674632352941
0.403814338235294,0.609145220588235,0.831387867647059
0.410661764705882,0.608685661764706,0.830101102941176
0.417509191176471,0.608226102941177,0.828814338235294
0.424356617647059,0.607766544117647,0.827527573529412
0.431204044117647,0.607306985294118,0.826240808823529
0.438051470588235,0.606847426470588,0.824954044117647
0.444898897058823,0.606387867647059,0.823667279411765
0.451746323529412,0.605928308823529,0.822380514705882
0.45859375,0.60546875,0.82109375
0.465441176470588,0.605009191176471,0.819806985294118
0.472288602941176,0.604549632352941,0.818520220588235
0.479136029411765,0.604090073529412,0.817233455882353
0.485983455882353,0.603630514705882,0.815946691176471
0.492830882352941,0.603170955882353,0.814659926470588
0.499678308823529,0.602711397058824,0.813373161764706
0.506525735294117,0.602251838235294,0.812086397058824
0.513373161764706,0.601792279411765,0.810799632352941
0.520220588235294,0.601332720588235,0.809512867647059
0.527068014705882,0.600873161764706,0.808226102941176
0.533915441176471,0.600413602941177,0.806939338235294
0.540762867647059,0.599954044117647,0.805652573529412
0.547610294117647,0.599494485294118,0.804365808823529
0.554457720588235,0.599034926470588,0.803079044117647
0.561305147058823,0.598575367647059,0.801792279411765
0.568152573529412,0.598115808823529,0.800505514705882
0.575,0.59765625,0.79921875
0.581847426470588,0.597196691176471,0.797931985294118
0.588694852941176,0.596737132352941,0.796645220588235
0.595542279411765,0.596277573529412,0.795358455882353
0.602389705882353,0.595818014705882,0.794071691176471
0.609237132352941,0.595358455882353,0.792784926470588
0.616084558823529,0.594898897058824,0.791498161764706
0.622931985294118,0.594439338235294,0.790211397058824
0.629779411764706,0.593979779411765,0.788924632352941
0.636626838235294,0.593520220588235,0.787637867647059
0.643474264705882,0.593060661764706,0.786351102941176
0.65032169117647,0.592601102941177,0.785064338235294
0.657169117647059,0.592141544117647,0.783777573529412
0.664016544117647,0.591681985294118,0.782490808823529
0.670863970588235,0.591222426470588,0.781204044117647
0.677711397058823,0.590762867647059,0.779917279411765
0.684558823529412,0.590303308823529,0.778630514705882
0.69140625,0.58984375,0.77734375
0.693841911764706,0.5859375,0.770542279411765
0.696277573529412,0.58203125,0.763740808823529
0.698713235294118,0.578125,0.756939338235294
0.701148897058823,0.57421875,0.750137867647059
0.703584558823529,0.5703125,0.743336397058824
0.706020220588235,0.56640625,0.736534926470588
0.708455882352941,0.5625,0.729733455882353
0.710891544117647,0.55859375,0.722931985294118
0.713327205882353,0.5546875,0.716130514705882
0.715762867647059,0.55078125,0.709329044117647
0.718198529411765,0.546875,0.702527573529412
0.720634191176471,0.54296875,0.695726102941177
0.723069852941176,0.5390625,0.688924632352941
0.725505514705882,0.53515625,0.682123161764706
0.727941176470588,0.53125,0.675321691176471
0.730376838235294,0.52734375,0.668520220588235
0.7328125,0.5234375,0.66171875
0.735248161764706,0.51953125,0.654917279411765
0.737683823529412,0.515625,0.648115808823529
0.740119485294118,0.51171875,0.641314338235294
0.742555147058824,0.5078125,0.634512867647059
0.744990808823529,0.50390625,0.627711397058824
0.747426470588235,0.5,0.620909926470588
0.749862132352941,0.49609375,0.614108455882353
0.752297794117647,0.4921875,0.607306985294118
0.754733455882353,0.48828125,0.600505514705882
0.757169117647059,0.484375,0.593704044117647
0.759604779411765,0.48046875,0.586902573529412
0.762040441176471,0.4765625,0.580101102941176
0.764476102941176,0.47265625,0.573299632352941
0.766911764705882,0.46875,0.566498161764706
0.769347426470588,0.46484375,0.559696691176471
0.771783088235294,0.4609375,0.552895220588235
0.77421875,0.45703125,0.54609375
0.776654411764706,0.453125,0.539292279411765
